,M,C,P,T,MT,TW,TC,DB,TA,O,CB,LW,LS,at_home,p_name,min_played,is_sub,pos_num_x,PlayGuid,M_per80m,C_per80m,P_per80m,T_per80m,MT_per80m,TW_per80m,TC_per80m,DB_per80m,TA_per80m,O_per80m,CB_per80m,LW_per80m,LS_per80m,Meters_per_Carry_per80m,%Successful_per80mackles_per80m,%Turnovers_Won_per80m,DB_per_Break_per80m,pos_num_y
6119,36,5,4,3,1,0,0,0,0,1,0,0,0,1,Tom Roebuck,51,0,14,TR593558,47.23517562880495,6.5604410595562435,5.248352847644995,3.936264635733746,1.3120882119112487,0.0,0.0,0.0,0.0,1.3120882119112487,0.0,0.0,0.0,7.2,0.75,0.0,0.0,14.0
6120,12,3,2,3,4,0,1,0,0,0,0,0,0,1,Sam James,80,0,13,SJ271806,12.0,3.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.42857142857142855,0.0,0.0,13.0
6121,24,6,2,6,1,1,0,4,0,2,0,0,0,1,Rohan Janse van Rensburg,80,0,12,RJ787886,24.0,6.0,2.0,6.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,0.8571428571428571,1.0,0.6666666666666666,12.0
6122,31,5,3,3,2,0,1,1,1,0,1,0,0,1,Jack Metcalf,80,0,11,JM456407,31.0,5.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.2,0.6,0.0,0.2,11.0
6123,3,2,12,4,5,0,1,2,0,0,0,0,0,1,Robert du Preez,80,0,10,RD775282,3.0,2.0,12.0,4.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,0.4444444444444444,0.0,1.0,13.0
6124,7,3,31,2,0,0,1,0,0,1,0,0,0,1,Faf de Klerk,51,0,9,FD406092,9.18461748337874,3.936264635733746,40.674734569248706,2.6241764238224974,0.0,0.0,1.3120882119112487,0.0,0.0,1.3120882119112487,0.0,0.0,0.0,2.3333333333333335,1.0,0.0,0.0,9.0
6125,3,3,0,6,0,1,0,0,0,0,0,0,0,1,Bevan Rodd,47,0,1,BR106791,4.148184913772237,4.148184913772237,0.0,8.296369827544474,0.0,1.3827283045907457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
6126,27,4,5,4,0,1,0,1,0,1,1,0,0,1,Akker van der Merwe,47,0,2,AV262395,37.33366422395013,5.530913218362983,6.9136415229537285,5.530913218362983,0.0,1.3827283045907457,0.0,1.3827283045907457,0.0,1.3827283045907457,1.3827283045907457,0.0,0.0,6.749999999999999,1.0,1.0,0.25,2.0
6127,0,0,0,4,0,0,0,0,0,0,0,0,0,1,Nic Schonert,30,0,3,NS357337,0.0,0.0,0.0,7.480294921803322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
6128,15,2,1,10,2,0,0,0,0,0,0,2,1,1,Cobus Wiese,58,0,4,CW874773,18.154202993260235,2.4205603991013644,1.2102801995506822,12.102801995506823,2.4205603991013644,0.0,0.0,0.0,0.0,0.0,0.0,2.4205603991013644,1.2102801995506822,7.500000000000001,0.8333333333333333,0.0,0.0,4.0
