idPlayer,idMatch,position_num,mins_played,tries,try_assists,conversions,penalty_goals,meters_made,carries,passes_made,offloads,tackles_made,missed_tackles,turnovers_won,turnovers_conceded,lineouts_won,lineouts_stolen,defemders_beaten,clean_breaks,at_home,is_sub
674,273,5,80,0,0,0,0,0,0,4,0,11,1,0,2,5,0,0,0,0,0
569,273,6,70,0,0,0,0,0,1,2,0,9,1,0,0,1,0,0,0,0,0
574,273,7,80,0,0,0,0,14,10,6,1,12,4,1,0,7,1,0,0,0,0
88,273,8,80,0,0,0,0,4,8,6,0,8,2,0,1,0,0,0,0,0,0
675,273,2,13,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1
85,273,1,30,0,0,0,0,1,2,0,0,7,0,0,0,0,0,1,0,0,1
1583,273,3,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
566,273,4,17,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1
676,273,6,10,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1
837,273,9,15,0,0,0,0,0,2,4,0,4,1,0,1,0,0,0,0,0,1
560,273,12,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
604,273,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1045,274,15,80,0,0,0,0,38,8,6,0,1,3,0,0,0,0,2,0,1,0
1065,274,14,80,0,0,0,0,11,1,1,0,0,2,0,1,0,0,0,0,1,0
1048,274,13,80,0,0,0,0,2,4,6,0,3,1,0,0,0,0,0,0,1,0
1405,274,12,80,1,0,0,0,12,4,3,0,5,3,0,0,0,0,1,0,1,0
1406,274,11,28,0,0,0,0,42,8,1,1,6,1,0,1,0,0,1,0,1,0
1560,274,10,57,0,1,2,0,29,7,12,0,3,1,1,1,0,0,1,0,1,0
1258,274,9,68,0,1,0,0,1,1,61,0,1,1,0,0,1,0,0,0,1,0
1408,274,1,66,0,0,0,0,5,10,4,0,7,1,0,0,0,0,0,0,1,0
1260,274,2,80,0,0,0,0,2,3,1,0,10,1,0,1,0,0,0,0,1,0
1053,274,3,68,2,0,0,0,8,5,0,0,7,0,0,1,0,0,0,0,1,0
1407,274,4,57,0,0,0,0,0,0,4,0,7,0,0,1,6,0,0,0,1,0
1054,274,5,80,0,0,0,0,0,5,0,0,4,1,0,0,0,0,0,0,1,0
1266,274,6,72,1,0,0,0,38,11,1,0,6,1,0,0,0,0,1,2,1,0
1265,274,7,80,0,0,0,0,18,5,0,0,13,0,1,2,2,0,0,0,1,0
1485,274,8,62,0,0,0,0,52,13,2,0,10,0,0,1,0,0,2,0,1,0
1051,274,1,14,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,1,1
1261,274,3,12,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1
1262,274,4,23,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,1,1
1063,274,6,8,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,1
1562,274,8,18,1,0,0,0,19,5,2,0,1,0,1,1,0,0,0,0,1,1
120,274,9,12,0,0,0,0,2,1,14,0,1,0,0,0,0,0,0,1,1,1
183,274,10,23,0,0,1,0,10,4,4,0,0,0,0,0,0,0,1,0,1,1
69,274,15,80,0,0,0,0,83,11,5,1,1,0,0,2,0,0,3,1,0,0
278,274,14,80,1,0,0,0,105,9,0,0,5,0,0,2,0,0,4,1,0,0
280,274,13,80,0,0,0,0,7,2,3,0,8,0,0,1,0,0,0,0,0,0
1548,274,12,80,0,0,0,0,6,1,6,0,7,3,0,0,0,0,0,0,0,0
1549,274,11,57,0,0,0,0,44,3,1,0,3,2,0,1,0,0,4,1,0,0
89,274,10,80,0,0,2,3,14,2,14,0,8,0,0,3,0,0,0,0,0,0
